market,pct,holding,regime,event_n,event_avg_return,event_median_return,event_win_rate,event_avg_mdd,random_n,random_avg_return,random_median_return,random_win_rate,random_avg_mdd,excess_avg_return,excess_win_rate,excess_avg_mdd
SPY,10,20,ABOVE,237,0.01217357926657379,0.01812056229117731,0.6877637130801688,-0.03407240180597748,237,0.0038517966108446633,0.010395035000290376,0.6244725738396625,-0.029520696441677458,0.008321782655729127,0.06329113924050633,-0.004551705364300024
SPY,10,20,BELOW,304,0.013785692866924975,0.020964530037419715,0.6019736842105263,-0.06108941680569811,304,0.006366412965399987,0.01648501157543425,0.5756578947368421,-0.05748741592049805,0.007419279901524988,0.02631578947368418,-0.00360200088520006
SPY,10,60,ALL,538,0.03401994870240269,0.0471833687491785,0.6970260223048327,-0.07736945074085123,538,0.021936573187666238,0.0333963904881629,0.7230483271375465,-0.05571248908448433,0.012083375514736455,-0.02602230483271384,-0.0216569616563669
SPY,10,60,ABOVE,234,0.03671497981916444,0.045475503216638735,0.7692307692307693,-0.05276946631006865,234,0.02281334853328462,0.02895846197630847,0.717948717948718,-0.04578062037177748,0.013901631285879821,0.05128205128205132,-0.006988845938291174
SPY,10,60,BELOW,304,0.03194548396121109,0.049219073502774324,0.6414473684210527,-0.09630496507244048,304,0.015339681559045427,0.037448760499094624,0.6381578947368421,-0.097437390974782,0.016605802402165658,0.003289473684210509,0.0011324259023415273
SSE,1,1,ALL,54,0.014045421976905736,0.013855423625628083,0.7962962962962963,-0.02183173719532415,54,0.0020445088910723314,0.003383717589917623,0.6111111111111112,-0.007233897541617014,0.012000913085833405,0.18518518518518512,-0.014597839653707135
SSE,1,1,ABOVE,26,0.01325424658796086,0.014732376787404688,0.8461538461538461,-0.026261636995763706,26,-0.0009567748017887914,0.00023556431827004287,0.5,-0.007612342353345898,0.014211021389749652,0.34615384615384615,-0.018649294642417807
SSE,1,1,BELOW,28,0.014780084838068835,0.010058445976083519,0.75,-0.017718258809201717,28,-0.004715750861011396,-0.005391541107177045,0.35714285714285715,-0.010262703263323656,0.01949583569908023,0.39285714285714285,-0.007455555545878061
SSE,1,3,ALL,54,0.00955722779538987,0.0005918278621588335,0.5185185185185185,-0.033807638301017434,54,-0.0017991775299966057,-0.0032410760221766033,0.4444444444444444,-0.017333140740339346,0.011356405325386476,0.07407407407407407,-0.01647449756067809
SSE,1,3,ABOVE,26,0.010943814118464667,0.017921634378065376,0.5769230769230769,-0.03935454232845736,26,0.0006802240805867665,-0.002336402467375376,0.46153846153846156,-0.015267530273970521,0.0102635900378779,0.11538461538461531,-0.024087012054486837
